,both_present,species1_only,species2_only,none_present,correlation,p_value
overall,53.16455696202531,36.28691983122363,5.485232067510549,5.063291139240507,0.13610254228273588,0.03626466056069685
Prior,51.80722891566265,38.55421686746988,4.819277108433735,4.819277108433735,0.11605306242391165,0.29611800592884524
Acute,55.42168674698795,31.32530120481928,8.433734939759036,4.819277108433735,0.14392762688384197,0.19424345083446862
Post,52.112676056338024,39.436619718309856,2.8169014084507045,5.633802816901409,0.1288732394366197,0.2841224319178485
Severity_0,58.2089552238806,22.388059701492537,13.432835820895523,5.970149253731343,0.06560778992736852,0.5978564401569231
Severity_1,52.83018867924528,41.509433962264154,1.8867924528301887,3.7735849056603774,0.12917271407837447,0.35661323868277417
Severity_2,53.93258426966292,40.44943820224719,1.1235955056179776,4.49438202247191,0.21392577459993195,0.04411358478885732
Severity_3,32.0,52.0,8.0,8.0,0.06384615384615384,0.761739933956736
Severity_4,100.0,0.0,0.0,0.0,1.0,0.0
Symptoms_Asymptomatic,58.2089552238806,22.388059701492537,13.432835820895523,5.970149253731343,0.06560778992736852,0.5978564401569231
Symptoms_Mild,53.52112676056338,40.845070422535215,1.4084507042253522,4.225352112676056,0.1931742216429061,0.021260289130081874
Symptoms_Severe,39.285714285714285,46.42857142857143,7.142857142857142,7.142857142857142,0.23097974822112752,0.23697539300853931
