,both_present,species1_only,species2_only,none_present,correlation,p_value
overall,64.55696202531645,6.329113924050633,20.675105485232066,8.438818565400844,0.4302165835224886,4.26721791603092e-12
Prior,65.06024096385542,6.024096385542169,22.89156626506024,6.024096385542169,0.34018303177868264,0.001651671787659572
Acute,69.87951807228916,4.819277108433735,16.867469879518072,8.433734939759036,0.40533562822719443,0.00014393612937109126
Post,57.74647887323944,8.450704225352112,22.535211267605636,11.267605633802818,0.4972166331321261,1.0288691284195679e-05
Severity_0,80.59701492537313,7.462686567164178,8.955223880597014,2.9850746268656714,0.6640992896480168,8.992706289613642e-10
Severity_1,67.9245283018868,1.8867924528301887,26.41509433962264,3.7735849056603774,0.49129172714078373,0.00018735128364495666
Severity_2,51.68539325842697,5.617977528089887,26.96629213483146,15.730337078651685,0.39216887980932924,0.00014419771082691706
Severity_3,68.0,12.0,12.0,8.0,-0.006153846153846154,0.9767097610107518
Severity_4,0.0,33.33333333333333,66.66666666666666,0.0,-0.5,0.6666666666666667
Symptoms_Asymptomatic,80.59701492537313,7.462686567164178,8.955223880597014,2.9850746268656714,0.6640992896480168,8.992706289613642e-10
Symptoms_Mild,57.74647887323944,4.225352112676056,26.76056338028169,11.267605633802818,0.41896640967662846,2.1120638718017748e-07
Symptoms_Severe,60.71428571428571,14.285714285714285,17.857142857142858,7.142857142857142,-0.12807881773399013,0.5160063871978267
