Taxon	H_statistic	p_value	adjusted_p_value
Bifidobacterium.bifidum	10.171448364701916	0.0014263218523006835	0.14120586337776767
Corynebacterium.tuberculostearicum	8.141823770082112	0.00432557559428605	0.20563418090125582
Bifidobacterium.pseudocatenulatum	6.919755785279449	0.008524861731252003	0.20563418090125582
Streptococcus.thermophilus	6.9027747958865575	0.008606207290488716	0.20563418090125582
Corynebacterium.kefirresidentii	6.567535852956553	0.010385564691982617	0.20563418090125582
Bradyrhizobium.sp.WBOS08	6.128199690037832	0.013304227838153286	0.21951975932952922
Streptomyces.armeniacus	5.1622233831074595	0.023083328671717116	0.28218234196481734
Prevotella.histicola	5.06000366808837	0.024484186177693653	0.28218234196481734
Staphylococcus.aureus	4.872879006104483	0.027281948770871697	0.28218234196481734
Veillonella.rogosae	4.689279881230448	0.030351364903687467	0.28218234196481734
Streptococcus.sp.A12	4.63349712246287	0.031353593551646367	0.28218234196481734
Anaerobutyricum.hallii	4.265693898891129	0.03888936305427848	0.30083943785601697
Serratia.marcescens	4.239054189487149	0.03950416860735577	0.30083943785601697
Cutibacterium.acnes	4.067930042078672	0.04370480037981971	0.3090553741144394
Neisseria.gonorrhoeae	3.711329264826418	0.05404433485736998	0.329071479409028
Pseudomonas.aeruginosa	3.6864836157268996	0.054855149021497074	0.329071479409028
Neisseria.subflava	3.637042651523757	0.05650722373690379	0.329071479409028
Chryseobacterium.indologenes	3.347406218192191	0.06731099821865372	0.3555867081698957
Staphylococcus.epidermidis	3.230270769246772	0.07228873547052889	0.3555867081698957
Bradyrhizobium.sp.CCBAU.53421	3.12663249491726	0.0770226894231253	0.3555867081698957
Bradyrhizobium.sp.Ash2021	3.0697858166668652	0.07975997965231262	0.3555867081698957
Streptococcus.salivarius	3.0584790645157227	0.08031681578301517	0.3555867081698957
Malassezia.restricta	2.991076636102207	0.08372448620093087	0.3555867081698957
Streptococcus.pneumoniae	2.935481627831564	0.0866528153658834	0.3555867081698957
Ruminococcus.torques	2.8150083922733415	0.09338640820623524	0.3555867081698957
Staphylococcus.capitis	2.8150083922733415	0.09338640820623524	0.3555867081698957
Rothia.mucilaginosa	2.6233151348630486	0.10530423046599777	0.36860998072766765
Bartonella.krasnovii	2.5920233853674404	0.1074030507523018	0.36860998072766765
Haemophilus.influenzae	2.550593109035219	0.11025285914651141	0.36860998072766765
