Taxon	H_statistic	p_value	adjusted_p_value
Dolosigranulum.pigrum	19.58548126	0.000602835	0.060886344
Moraxella.nonliquefaciens	16.60584157	0.00230519	0.08181861
Corynebacterium.pseudodiphtheriticum	16.48740228	0.002430256	0.08181861
Moraxella.lincolnii	15.66384236	0.003505057	0.088502679
Bifidobacterium.breve	14.49809556	0.005863843	0.103469478
Moraxella.bovis	14.39082888	0.006146702	0.103469478
Corynebacterium.accolens	13.7634457	0.008089597	0.116721332
Haemophilus.influenzae	13.42687761	0.009367822	0.118268748
Moraxella.sp.K1664	12.63296885	0.013215638	0.148308822
Corynebacterium.propinquum	9.994520508	0.040520085	0.355568117
Dietzia.kunjamensis	9.769298581	0.044498396	0.355568117
Stenotrophomonas.maltophilia	9.556301427	0.048603146	0.355568117
Vibrio.sp.Scap24	9.52384289	0.049259628	0.355568117
Nocardioides.sp.S5	9.52251474	0.04928667	0.355568117
Leptospira.santarosai	8.706822613	0.068860172	0.389216409
Comamonas.aquatica	8.563802294	0.072976701	0.389216409
Staphylococcus.epidermidis	8.555178652	0.073232212	0.389216409
Haemophilus.parainfluenzae	8.544348358	0.073554302	0.389216409
Moraxella.sp.ATCC.23246	8.472764587	0.075717086	0.389216409
Serratia.marcescens	8.428879289	0.077072556	0.389216409
Phocaeicola.dorei	8.185722623	0.085007015	0.397613632
Mediterraneibacter.gnavus	8.116200684	0.087413167	0.397613632
Streptococcus.pneumoniae	8.028336814	0.090545679	0.397613632
Paracoccus.marcusii	7.547765559	0.109621385	0.461323328
Bacteroides.thetaiotaomicron	7.238011612	0.12383239	0.500282858
Moraxella.catarrhalis	6.923148792	0.140005624	0.518641523
Neisseria.subflava	6.866324056	0.14312328	0.518641523
Blautia.wexlerae	6.76840112	0.148645164	0.518641523
Streptomyces.sp.ICC4	6.763669002	0.148916873	0.518641523
Prevotella.melaninogenica	5.928272489	0.204569346	0.6887168
Segatella.copri	5.838836262	0.211511708	0.689118791
Bradyrhizobium.elkanii	5.595821261	0.23143423	0.693021877
Bifidobacterium.pseudocatenulatum	5.379776925	0.250501034	0.693021877
Enterobacter.hormaechei	5.2977288	0.258089616	0.693021877
Granulicatella.elegans	5.183133784	0.26901764	0.693021877
Streptomyces.armeniacus	5.151271044	0.272125317	0.693021877
