Taxon	H_statistic	p_value	adjusted_p_value
Dolosigranulum.pigrum	11.630832623254491	0.0029812389446522473	0.14608070828796013
Serratia.marcescens	9.228778742306645	0.009908231812278212	0.22180711609536183
Moraxella.lincolnii	8.598310261270967	0.01358002751604256	0.22180711609536183
Streptococcus.pneumoniae	7.589627742593279	0.02248709092031484	0.2754668637738568
Moraxella.nonliquefaciens	6.617581063287162	0.03656036562934359	0.35829158316756715
Corynebacterium.propinquum	5.9662265451147505	0.05063494782777427	0.36339213640076445
Bifidobacterium.longum	5.916365822545458	0.05191316234296635	0.36339213640076445
Corynebacterium.pseudodiphtheriticum	5.419891947806377	0.06654040153608415	0.4075599594085154
Chryseobacterium.indologenes	4.467313480528787	0.10713594464185616	0.5059775789997963
Staphylococcus.epidermidis	4.3534315901169975	0.11341339249500242	0.5059775789997963
Haemophilus.influenzae	4.25325098413748	0.11923898862295366	0.5059775789997963
Corynebacterium.tuberculostearicum	4.101988569660648	0.12860696803876123	0.5059775789997963
Moraxella.catarrhalis	4.0162677232051465	0.13423894953055823	0.5059775789997963
Acinetobacter.baumannii	3.262927684465126	0.19564297396158534	0.6458268622111226
Bifidobacterium.pseudocatenulatum	3.2419878465669854	0.19770210067687427	0.6458268622111226
Streptococcus.mitis	3.0483301624734622	0.2178028286406658	0.6488623667475082
Xanthobacter.autotrophicus	2.9270799364786626	0.23141561909762656	0.6488623667475082
Paracoccus.sp.SMMA.5.TC	2.7380112573284805	0.25435976189846937	0.6488623667475082
Vibrio.sp.Scap24	2.6583993384263067	0.26468901531979083	0.6488623667475082
Phocaeicola.dorei	2.657245358102273	0.2648417823459217	0.6488623667475082
Anaerobutyricum.hallii	2.454780998622823	0.2930563114120489	0.6837980599614475
Jouyvirus.ev207	2.235762107920891	0.32697189690638107	0.7282555885642124
Streptococcus.thermophilus	1.9316270655062908	0.38067338346788054	0.8109998169533107
Streptomyces.armeniacus	1.6910684833374034	0.42932793206084674	0.8765445279575621
Moraxella.sp.K1664	1.48051741778238	0.4769904978742884	0.8844828447777987
Salmonella.enterica	1.3734094942383308	0.503231615276224	0.8844828447777987
Bacteroides.fragilis	1.2377918679706	0.5385386917535657	0.8844828447777987
Bradyrhizobium.elkanii	1.2204913630978353	0.5432173941882097	0.8844828447777987
Bifidobacterium.bifidum	1.1779341209904715	0.55490016711096	0.8844828447777987
Bradyrhizobium.sp.CCBAU.53421	1.1159396129933157	0.5723699067484285	0.8844828447777987
Bradyrhizobium.sp.B097	1.1061599542624663	0.5751755518990087	0.8844828447777987
Staphylococcus.aureus	1.0614389629104153	0.5881816316284286	0.8844828447777987
Bradyrhizobium.betae	1.0199128253892695	0.6005217533668652	0.8844828447777987
Streptomyces.sp.ICC1	0.9764238689091371	0.6137227902539828	0.8844828447777987
Bartonella.krasnovii	0.7919080991257488	0.6730376215997715	0.9422526702396802
Bradyrhizobium.sp.ma5	0.7178489413715852	0.6984271010794416	0.950636887580351
Acinetobacter.junii	0.4784723499753909	0.7872289366312633	0.9666365063696489
Yersinia.enterocolitica	0.4729629884913038	0.7894004906183612	0.9666365063696489
Dermacoccus.nishinomiyaensis	0.4249022914193574	0.8085998189268164	0.9666365063696489
Enterobacter.hormaechei	0.3744874149423367	0.8292416193796455	0.9666365063696489
Bradyrhizobium.sp.Ash2021	0.37358696455532936	0.8296150489055744	0.9666365063696489
Cutibacterium.acnes	0.296138737397996	0.8623712912925948	0.9666365063696489
Klebsiella.pneumoniae	0.20742588885275381	0.9014840363003617	0.9666365063696489
Bacteroides.sp.DH3716P	0.19458080861681992	0.9072924862244787	0.9666365063696489
Collinsella.aerofaciens	0.18512787722465873	0.9115909232424194	0.9666365063696489
Neisseria.gonorrhoeae	0.17704458760272246	0.9152827053777189	0.9666365063696489
Bradyrhizobium.sp.Pha.3	0.15121089774049778	0.927181955089255	0.9666365063696489
Homo.sapiens	0.06787221558340661	0.9666332629983326	0.981677702293277
Bradyrhizobium.sp.SK17	0.036984459805694314	0.981677702293277	0.981677702293277
