	PC1	PC2	PC3	PC4	PC5
3001045042-DNA	0.2100758406999325	-0.4136138042207065	-9.575391844556407	1.4479326609926344	-2.753898532877386
3001341779-DNA	-3.109029119338704	-0.7437895152738622	3.0972360726739097	-2.812107179117454	1.4799081649794816
3001324288-DNA	-6.784475647826363	4.812382550775425	3.739781893173395	12.294842849512783	1.5941741429664247
3000829049-DNA	-4.1775813943212965	-2.0011504505260973	-10.836574849669784	-2.1038670351064654	-1.1827862174023993
3001221254-DNA	-19.2782597112345	-2.6467557289930035	3.49617435085672	-3.126144727063023	6.118676083515185
3001357238-DNA	-2.312132464180963	-2.2364011114934588	4.806452741986297	-8.985979224634935	-1.2859225123192732
3001359901-DNA	-7.658724290859651	3.188709283687085	5.658241573557173	-3.3591260551916577	-9.112832876734997
3000863600-DNA	-0.286877646567678	5.0483748662040595	-6.937197594261873	2.9273607368816257	11.099797399371932
3001336332-DNA	-1.966122923542873	-5.0973517180969	3.249218721120284	8.566215783068392	7.234394357434852
3001378130-DNA	6.167935101086909	11.785767049709948	3.6099155558098333	-4.791266996106482	-0.7024562031803006
3001063025-DNA	8.952860070647777	-1.3713779574228402	-11.665407890874228	-3.423831843426882	-6.035887438994524
3001056120-DNA	3.8189596125152514	-0.7572555018144607	-9.384427004868925	-7.385066557519123	-2.945373474904983
3001177343-DNA	-7.746357663901936	-10.503030592598213	-1.0039659189325363	-3.0129034430457398	-3.9395637163522794
3001060908-DNA	-0.6022449270838852	7.672350349413515	0.5870373779803028	-1.6852481636516978	-3.986570490752099
3001071415-DNA	7.381533254305929	-2.6804182498135782	-6.950191955861274	-6.343344195508209	-3.2701596548201426
3001076933-DNA	7.284145866718336	-5.076397344045557	-9.327287584330811	3.2191873565731974	-4.32745159268999
3001351698-DNA	1.223969907460317	3.475551461704041	11.072321868107423	6.211648668646796	-0.04691430892876057
3001102443-DNA	-15.465837060930735	9.315576216398547	7.212106696448211	-4.472240125373172	4.625476553251731
3001335473-DNA	10.715918944157135	-4.387420659309681	-2.983354969579502	-4.078836469615338	-2.965303430288391
3000863616-DNA	-10.129904297347464	9.972595495065102	-1.9659055193987596	-1.0146766165448777	2.280489697169938
3001351708-DNA	1.4221939204513099	-4.585553129943781	0.5317752490271288	5.412922798252297	1.8428084402848015
3001094401-DNA	2.8224976870242404	-0.3822743540425055	-6.682258317191162	4.885703346524937	6.034277179921784
3001063041-DNA	-10.496394794293098	-0.2271204271491756	-8.115029760497178	-3.821470881962486	-3.5084246808118955
3000864399-DNA	-6.351349235896816	5.872084379140082	-7.118825944090522	-3.7052698389714993	2.052736273224307
3000879733-DNA	-11.348702375697098	1.573779520379414	-2.474372183831436	-2.321527309729857	1.537355539148866
3001180260-DNA	10.557689635686563	3.9149143787327096	6.868315678125579	-2.6332891713228057	-0.09022571516456122
3001056128-DNA	2.528004971431777	8.327201577723894	0.9431583254589978	2.8293481080023475	-5.215702779959377
3001347849-DNA	-4.5407852862798626	-7.592640655287813	3.6720419850016333	10.706085210486528	11.196508987930486
3001102495-DNA	-7.74802424443681	2.4292999449371253	4.963389396940385	-3.8865742756871806	4.983612247429057
3001379528-DNA	-2.7558424062972082	-10.059623356087545	5.08668386680361	13.080390241779329	-7.865236286849011
3000858883-DNA	-2.0166288581906398	-2.95710323650783	-5.383956754652346	0.3133136677821429	0.138220839757696
3000881401-DNA	-8.618744672871644	1.9727859729951949	-4.356173950631347	-3.5577200396059476	-6.548834630705836
3001090070-DNA	7.791442146799306	10.855597424996557	-6.847997382972166	-4.632636289321934	0.9297772289879388
3001195247-DNA	-7.722691447718499	-9.245797322965466	-1.8670781241437588	1.9345459468368431	3.040157909035951
3001201485-DNA	4.896803034965232	-1.7043486729902133	-0.9375755504915531	0.9156447330966816	0.8208072388679843
3001369354-DNA	0.0230419377690089	-1.1426801873538166	10.169638342868643	3.8287755701968518	-8.020442752563788
3001359941-DNA	-5.282164968737355	-1.3268687413860298	2.472003763263832	-0.3405242002464462	-2.252025041484217
3001352787-DNA	9.942033488064482	7.734331607275386	0.34889342281322666	-0.14055557115349884	2.491595908067011
3001045026-DNA	1.8057650484239618	10.306204010602956	-0.8671170418607305	-0.7908170391495346	-0.006163595839641865
3001206694-DNA	4.130849897194753	3.0058473315326175	6.021382508986353	-7.679545244694432	4.858316737908074
3001332903-DNA	11.739176371949267	-4.354261603343959	0.209127600647573	-13.544780490983106	-0.47074942687213706
3001097056-DNA	1.0932624786496217	-2.006765850709315	6.25442717791023	4.032120645187348	-6.662150592185735
3001323185-DNA	-4.067862279839444	0.15987654180467245	4.020068477428287	-2.21092336363348	-7.950594886690298
3001046458-DNA	2.6340319664609546	-8.243033256290826	-3.2831135160368987	3.553358799855166	-4.317411357689887
3001100999-DNA	2.1163662508392243	-2.5485863501626076	-2.778632169105401	-10.592482397437344	1.142790557803349
3000868702-DNA	4.457019361626542	7.943677907344051	-5.143894202048516	-5.379239515490646	-5.241008645329735
3000829042-DNA	-10.407097760955063	-0.24411842248972623	-5.510195758727862	-3.4027194923304247	0.7359039482729108
3001361959-DNA	5.48957478200352	-3.723093218149526	0.33197583763211735	-0.6337797798993521	-7.278307929141695
3001427166-DNA	-7.946170621028786	10.41972087765544	6.194208887698658	2.133759697753696	-2.7109172369485264
3001076925-DNA	4.986817326933177	-1.1877332572500958	-5.6910805157556394	-5.418458780339643	-3.660939098543302
3000883056-DNA	-8.178955730097073	5.1411013380818735	-5.997028936450449	9.802816075338558	-1.217416998926789
3001425833-DNA	0.8207903766427016	-1.640928188156164	8.116188846493216	1.9741059562200163	-7.202604880142312
3000881421-DNA	1.9858417841988618	6.366276702798455	-7.858923515647873	8.313147105704639	1.7895580619513232
3000852208-DNA	3.7432776221951247	0.029894409954984352	-10.838004245313991	4.073003573058578	1.559256357166316
3001048330-DNA	-8.409053067306278	-0.4798421920045167	-9.589000958327913	-0.3444239987769435	0.12262629946503965
3001092238-DNA	10.594570655192152	-4.497009131843241	-6.73788864354958	-0.07536281722699767	1.3313515349246208
3001099226-DNA	-4.652208727597568	-8.973400556030095	-6.082491531181813	-7.029640948157697	0.7875765701480167
3001212764-DNA	-1.619146267126281	-6.664533437085158	-0.4789762931201404	1.0367958387842358	-1.0979684980340467
3001324280-DNA	-0.947237777494792	-1.6814605257390782	6.0997007942869805	0.044526750500883006	-1.9315804429215266
3000874511-DNA	2.437047687201186	4.0433650715221106	-6.104562902817967	-1.0112431412442586	-2.9281947718231205
3001094393-DNA	9.13328232955144	2.523912465643835	-7.35600286001449	-9.77560329181097	12.16325685123676
3000867690-DNA	5.5673226859613	4.301331461167325	-4.579285363038484	0.1790826066915923	-0.5900387881510425
3001175193-DNA	-12.97236627168607	5.420295120920728	4.381467960719276	0.8666724328179253	3.7273060782001486
3001352807-DNA	10.635643511152859	-0.5064201846142847	6.961319094899267	-1.272818088739476	-3.010426048170246
