Variable,Coefficient,P_value,Model_Type,Taxon
Intercept,-27.726644160394176,0.4170317734106389,MixedLM,Bradyrhizobium.sp.WBOS08
C(Timing)[T.Post],60.57420252439332,0.09957929386224776,MixedLM,Bradyrhizobium.sp.WBOS08
C(Timing)[T.Prior],36.20178978771441,0.30507445225446794,MixedLM,Bradyrhizobium.sp.WBOS08
C(Symptoms)[T.Mild],-48.19023607787157,0.4933787959229222,MixedLM,Bradyrhizobium.sp.WBOS08
C(Symptoms)[T.Severe],-116.43981159163616,0.3650638285794341,MixedLM,Bradyrhizobium.sp.WBOS08
Severity,29.46234585027945,0.4376116042578271,MixedLM,Bradyrhizobium.sp.WBOS08
Group Var,2.1060841762458725e-09,0.9999999777263396,MixedLM,Bradyrhizobium.sp.WBOS08
Intercept,-45.628593837001496,0.22114260306767097,MixedLM,Bifidobacterium.bifidum
C(Timing)[T.Post],23.520134463514808,0.5535011448248562,MixedLM,Bifidobacterium.bifidum
C(Timing)[T.Prior],8.95407469992688,0.8140573230602169,MixedLM,Bifidobacterium.bifidum
C(Symptoms)[T.Mild],-20.344662526450556,0.7924594949981885,MixedLM,Bifidobacterium.bifidum
C(Symptoms)[T.Severe],-81.3651341073617,0.5646367451697882,MixedLM,Bifidobacterium.bifidum
Severity,42.61830354341919,0.30695446020068307,MixedLM,Bifidobacterium.bifidum
Group Var,0.013018889074426485,0.8502235635394465,MixedLM,Bifidobacterium.bifidum
Intercept,5.485670632061979,0.888068360968019,MixedLM,Anaerobutyricum.hallii
C(Timing)[T.Post],-3.513002888058624,0.9223081203180516,MixedLM,Anaerobutyricum.hallii
C(Timing)[T.Prior],54.02463733637657,0.11584451086630015,MixedLM,Anaerobutyricum.hallii
C(Symptoms)[T.Mild],-100.54816077406304,0.24410112611386892,MixedLM,Anaerobutyricum.hallii
C(Symptoms)[T.Severe],-126.58808480020828,0.4216569577009769,MixedLM,Anaerobutyricum.hallii
Severity,39.50121459293513,0.3965102352452562,MixedLM,Anaerobutyricum.hallii
Group Var,0.20068896975639955,0.07497690575832901,MixedLM,Anaerobutyricum.hallii
Intercept,-15.876244047295177,0.726962480115775,MixedLM,Chryseobacterium.indologenes
C(Timing)[T.Post],44.64396212754765,0.23220785407519584,MixedLM,Chryseobacterium.indologenes
C(Timing)[T.Prior],54.213987688568785,0.12744504543080754,MixedLM,Chryseobacterium.indologenes
C(Symptoms)[T.Mild],30.009589127816042,0.7740642446277104,MixedLM,Chryseobacterium.indologenes
C(Symptoms)[T.Severe],118.57900720767731,0.5339276158257298,MixedLM,Chryseobacterium.indologenes
Severity,-36.43060556540843,0.51843678235274,MixedLM,Chryseobacterium.indologenes
Group Var,0.40031581244616254,0.006743760235779329,MixedLM,Chryseobacterium.indologenes
Intercept,-105.8870028005458,0.0040198060153511924,MixedLM,Bradyrhizobium.sp.6(2017)
C(Timing)[T.Post],96.04346939817529,0.00618698415601796,MixedLM,Bradyrhizobium.sp.6(2017)
C(Timing)[T.Prior],135.21072552034997,5.494322782128046e-05,MixedLM,Bradyrhizobium.sp.6(2017)
C(Symptoms)[T.Mild],132.41734083206256,0.10006789655445497,MixedLM,Bradyrhizobium.sp.6(2017)
C(Symptoms)[T.Severe],230.25738117770211,0.11719510670036049,MixedLM,Bradyrhizobium.sp.6(2017)
Severity,-57.00704031357605,0.18947890812143497,MixedLM,Bradyrhizobium.sp.6(2017)
Group Var,0.15399948029170113,0.11448574647073598,MixedLM,Bradyrhizobium.sp.6(2017)
Intercept,-34.08351779311367,0.4003545057525476,MixedLM,Neisseria.gonorrhoeae
C(Timing)[T.Post],44.986879872753825,0.30244888015156557,MixedLM,Neisseria.gonorrhoeae
C(Timing)[T.Prior],54.315331156066435,0.1946234334083835,MixedLM,Neisseria.gonorrhoeae
C(Symptoms)[T.Mild],-45.217208974989134,0.5880152281661473,MixedLM,Neisseria.gonorrhoeae
C(Symptoms)[T.Severe],-171.9361609041359,0.25964092129054517,MixedLM,Neisseria.gonorrhoeae
Severity,36.5113488652964,0.4174996180666113,MixedLM,Neisseria.gonorrhoeae
Group Var,2.353950012893226e-09,0.9999999740590511,MixedLM,Neisseria.gonorrhoeae
Intercept,-54.02941134634791,0.16715817672357192,MixedLM,Prevotella.histicola
C(Timing)[T.Post],31.72185138580158,0.3957199144034427,MixedLM,Prevotella.histicola
C(Timing)[T.Prior],53.98072125274136,0.13046638326894858,MixedLM,Prevotella.histicola
C(Symptoms)[T.Mild],-11.328174377474797,0.8945601225540903,MixedLM,Prevotella.histicola
C(Symptoms)[T.Severe],-4.539316880238181,0.9767918968742649,MixedLM,Prevotella.histicola
Severity,24.588077144832745,0.5939555260515093,MixedLM,Prevotella.histicola
Group Var,0.1510118354494241,0.12948936746971101,MixedLM,Prevotella.histicola
Intercept,-91.11807372982543,0.02176322087549986,MixedLM,Dermacoccus.nishinomiyaensis
C(Timing)[T.Post],129.51032983602678,0.0010547945040683938,MixedLM,Dermacoccus.nishinomiyaensis
C(Timing)[T.Prior],108.08803629872659,0.004282806882095567,MixedLM,Dermacoccus.nishinomiyaensis
C(Symptoms)[T.Mild],15.711641146506189,0.8537179529112409,MixedLM,Dermacoccus.nishinomiyaensis
C(Symptoms)[T.Severe],-64.82187773835862,0.6769864313152281,MixedLM,Dermacoccus.nishinomiyaensis
Severity,9.39948268895838,0.8380347745463346,MixedLM,Dermacoccus.nishinomiyaensis
Group Var,0.09419279278147567,0.26618106089666094,MixedLM,Dermacoccus.nishinomiyaensis
Intercept,-33.127292570786985,0.4778326526848161,MixedLM,Collinsella.aerofaciens
C(Timing)[T.Post],15.801162097101876,0.7095210520668623,MixedLM,Collinsella.aerofaciens
C(Timing)[T.Prior],54.0939530821026,0.181377255990411,MixedLM,Collinsella.aerofaciens
C(Symptoms)[T.Mild],29.87117318265903,0.7738556418999358,MixedLM,Collinsella.aerofaciens
C(Symptoms)[T.Severe],2.801607757137007,0.9882167982161877,MixedLM,Collinsella.aerofaciens
Severity,-6.9793592059731075,0.9009964295212118,MixedLM,Collinsella.aerofaciens
Group Var,0.22528024355899842,0.042144450435406836,MixedLM,Collinsella.aerofaciens
Intercept,-94.07182287932909,0.02803340850126308,MixedLM,Streptococcus.sp.A12
C(Timing)[T.Post],72.86170276070267,0.0739286785678414,MixedLM,Streptococcus.sp.A12
C(Timing)[T.Prior],63.11356116595982,0.10520306751760881,MixedLM,Streptococcus.sp.A12
