,3000852236-DNA,3001351698-DNA,3001341755-DNA,3001384560-DNA,3001175224-DNA,3000883056-DNA,3000868694-DNA,3001087062-DNA,3001087070-DNA,3000891783-DNA,3000858131-DNA,3001326467-DNA,3001323173-DNA,3001092258-DNA,3000858874-DNA,3001065176-DNA,3001324288-DNA,3001336356-DNA,3001099234-DNA,3001172116-DNA,3001070218-DNA,3001102495-DNA,3001090058-DNA,3001198169-DNA,3001053923-DNA,3001087078-DNA,3001063025-DNA,3001180259-DNA,3001177351-DNA,3001180268-DNA,3001100999-DNA,3001097048-DNA,3001322441-DNA,3001221254-DNA,3001168541-DNA,3001206725-DNA,3001361919-DNA,3001328927-DNA,3001425833-DNA,3001201470-DNA,3000879733-DNA,3000885600-DNA,3001384576-DNA,3000864431-DNA,3001071356-DNA,3000858123-DNA,3001336332-DNA,3001060880-DNA,3001347849-DNA,3001056136-DNA,3001428260-DNA,3001201505-DNA,3001090046-DNA,3001379528-DNA,3001046450-DNA,3001427166-DNA,3001332903-DNA,3001184945-DNA,3000883040-DNA,3000867627-DNA,3001206722-DNA,3000829049-DNA,3001439971-DNA,3001045026-DNA,3001324280-DNA,3001328911-DNA,3000858883-DNA,3001421314-DNA,3000874519-DNA,3001439979-DNA,3001101039-DNA,3001357238-DNA,3001076933-DNA,3000886299-DNA,3001180260-DNA,3000829042-DNA,3001175193-DNA,3001175177-DNA,3001361935-DNA,3001421330-DNA,3001070226-DNA,3001231121-DNA,3001102443-DNA,3000858866-DNA,3001198225-DNA,3001231137-DNA,3000852216-DNA,3001172778-DNA,3001198161-DNA,3001427175-DNA,3000847949-DNA,3001448375-DNA,3001177411-DNA,3001097056-DNA,3000885580-DNA,3001439963-DNA,3001322433-DNA,3001378114-DNA,3000874511-DNA,3001184953-DNA,3001341779-DNA,3001184969-DNA,3001335473-DNA,3001056120-DNA,3001425865-DNA,3001048322-DNA,3000852208-DNA,3001341747-DNA,3001071364-DNA,3001046458-DNA,3001063053-DNA,3001076925-DNA,3000891771-DNA,3001344083-DNA,3001053940-DNA,3001045051-DNA,3001351708-DNA,3001448383-DNA,3001369378-DNA,3001352787-DNA,3001063041-DNA,3001221246-DNA,3001212764-DNA,3001231145-DNA,3001048330-DNA,3001370807-DNA,3001326483-DNA,3001344067-DNA,3001368277-DNA,3001359901-DNA,3001177343-DNA,3001324264-DNA,3001357226-DNA,3001172810-DNA,3001215725-DNA,3001378122-DNA,3001168525-DNA,3001168533-DNA,3001348312-DNA,3001195230-DNA,3001053907-DNA,3001226011-DNA,3001206694-DNA,3001212756-DNA,3001090070-DNA,3000881401-DNA,3001065184-DNA,3001056128-DNA,3001323185-DNA,3000874503-DNA,3001094401-DNA,3001352795-DNA,3001428244-DNA,3001425825-DNA,3000879709-DNA,3000864399-DNA,3001076976-DNA,3001332911-DNA,3001201485-DNA,3001215710-DNA,3000847945-DNA,3001348320-DNA,3001332927-DNA,3001359894-DNA,3001222477-DNA,3001368269-DNA,3001336340-DNA,3001099226-DNA,3000864467-DNA,3001097072-DNA,3001347857-DNA,3001421342-DNA,3001347875-DNA,3001379508-DNA,3001335441-DNA,3001172786-DNA,3001212748-DNA,3001328919-DNA,3001370799-DNA,3001093737-DNA,3001352807-DNA,3001092225-DNA,3001428252-DNA,3001369346-DNA,3000886263-DNA,3001427154-DNA,3001222449-DNA,3001093757-DNA,3001379500-DNA,3000879703-DNA,3001351690-DNA,3001369354-DNA,3001357258-DNA,3001326503-DNA,3000847929-DNA,3000863616-DNA,3001215694-DNA,3001226004-DNA,3001370851-DNA,3001225986-DNA,3000883072-DNA,3000885572-DNA,3001185736-DNA,3001099250-DNA,3001384568-DNA,3001195247-DNA,3000881385-DNA,3001172132-DNA,3001065168-DNA,3001048314-DNA,3000863600-DNA,3001172140-DNA,3001094393-DNA,3000886283-DNA,3001221282-DNA,3001359941-DNA,3001102451-DNA,3001368261-DNA
Bacteria: Corynebacterium pseudodiphtheriticum,3.4206,0.0,31.6062,39.5196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9811,0.0,0.0,0.0,7.8846,0.0,0.0,0.0,0.0,0.0,15.6163,0.0,22.6887,19.9688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8161,3.6053,0.0,54.6863,0.0,0.0,0.0,0.0,16.0862,0.0,0.0,2.9583,0.0,0.0,0.0,25.1346,33.3619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.99,0.0,0.0,0.0,0.0,12.351,0.0,0.0,0.0,17.1212,15.9939,7.7287,0.0,10.2913,0.0,9.4838,7.3298,15.9728,0.0,0.0,0.0,0.0,6.4106,0.0,0.0,0.0,17.851,8.0073,10.095,17.6024,0.0,64.4809,0.0,0.0,0.0,24.5055,0.0,0.0,0.0,0.0,63.4464,0.0,0.0,0.0,0.0,0.0,17.7097,10.6613,0.0,0.0,7.9216,0.0,0.0,0.0,0.0,0.0,10.2097,0.0,0.0,0.0,0.6883,16.6461,0.0,0.0,8.2655,0.0,0.0,0.0,0.0,0.0,1.8887,0.0,0.0,1.6142,0.0,0.0,0.0,0.0,0.0,0.0,13.517,0.0,41.0864,4.56,0.0,0.0,0.0,0.0,0.0,7.9369,45.5925,0.0,0.0,0.0,17.6335,1.7825,0.0,0.0,0.0,0.0,0.0,0.0,9.2311,0.0,0.0,4.4367,0.0,7.4635,6.9712,0.0,13.0433,7.5108,0.0,0.0,0.0,13.2113,3.8582,0.0,21.1906,0.0,0.0,0.0,0.0,0.0,12.5687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4154,2.6353,5.363,0.0,0.0,0.0,8.5646,0.0,0.0,0.0,0.0,10.714,11.7014,0.0,0.0,42.9311,14.1379,8.8558,0.0,3.6064,12.5243,7.2621,7.883,8.4613,0.0
Bacteria: Haemophilus influenzae,0.0,0.0,5.9685,0.0,8.829,0.0,11.0682,0.0,0.0,100.0,49.1515,0.0,3.8871,0.0,0.0,52.1283,57.5738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.8744,0.0,0.0,0.0,0.0,84.1912,0.0,16.3386,0.0,0.0,0.0,0.0,0.0,12.1667,48.0143,0.0,0.0,0.0,0.0,17.6198,0.0,0.0,0.0,0.0,33.5659,0.0,25.8309,0.0,0.0,0.0,48.882,0.0,0.0,0.0,4.3807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8877,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3816,0.0,0.0,4.0679,0.0,51.5752,100.0,0.0,0.0,0.0,0.0,0.0,37.0903,29.2543,24.7651,0.0,0.0,0.0,0.0,0.0,0.0,35.6659,0.0,0.0,0.0,0.0,100.0,0.0,0.0,59.6105,0.0,61.4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4112,0.0,0.0,0.0,0.0,30.0897,0.0,32.8884,80.6648,0.0,17.7958,0.0,0.0,0.0,0.0,0.0,0.0,13.4485,0.0,0.0,0.0,0.0,59.422,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,7.3193,6.7639,0.0,0.0,90.4656,0.0,0.0,60.2293,0.0,12.5667,0.0,0.0,0.0,0.0,0.0,47.0534,0.0,0.0,14.7713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.9005
Bacteria: Streptococcus pneumoniae,0.0,74.3411,0.0,3.2113,8.6694,0.0,0.0,43.9553,82.4351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2705,0.0,0.0,16.3774,0.0,0.0,0.0,0.0,0.0,49.4828,0.0,15.8088,0.0,0.0,0.0,0.0,0.0,0.0,46.4852,0.0,16.198,0.0,0.0,0.0,12.8179,0.0,0.0,0.0,15.2488,100.0,40.5865,0.0,19.273,4.7369,0.0,0.0,0.0,25.9404,0.0,82.174,0.0,0.0,0.0,0.0,6.4009,0.0,0.0,0.0,0.0,0.0,0.0,1.9906,1.3683,0.0,68.8376,0.0,0.0,17.9321,0.0,0.0,33.3453,0.0,0.0,0.0,0.0,1.8997,0.0,21.0364,0.0,0.0,7.0123,0.0,0.0,100.0,15.5545,0.0,10.8364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.743,0.0,0.0,0.0,0.0,41.7972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5013,4.5956,0.0,0.0,27.6196,0.0,0.0,2.6015,64.2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5505,0.0,0.0,0.0,0.0,0.0,96.9097,0.0,0.0,21.5191,0.0,0.0,0.0,14.5424,1.7237,21.7548,30.0749,100.0,0.0,0.0,0.0,12.1362,0.0,0.0,36.1413,1.4619,0.0,0.0,0.0,0.0,9.5649,0.0,100.0,0.0,0.0,0.0,9.1988,0.0,0.0,0.0,0.0,0.0,21.3916,0.0,10.4395,0.0,0.0,0.0,0.0,93.8523,25.0961,0.0,0.0,0.0,11.3893,0.0,31.4815,0.0,0.0,0.0,0.0,0.0,0.0,14.8066,26.9719,0.0,24.8075,0.0,0.0,9.5839,10.1282,0.0,0.0,0.0,0.0,5.7618,0.0
Bacteria: Cutibacterium acnes,0.0,0.0,0.0,0.0,0.0,0.0,20.7183,0.0,0.0,0.0,0.0,0.0,0.0,14.4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8332,100.0,0.0,0.0,30.0307,14.5267,0.8112,0.0,0.0,22.3622,0.0,0.0,0.0,36.3615,2.8168,0.0,0.0,14.7489,100.0,0.0,7.7254,15.8864,0.0,0.0,0.0,0.0,0.0,2.1374,0.0,4.5134,62.2699,24.66,0.0,0.0,4.2537,0.0,21.512,0.0,26.0334,0.6098,18.4288,0.0,33.5076,0.0,3.9321,6.5187,14.6753,33.5339,0.0,7.0958,12.3385,22.8348,0.0,100.0,0.9014,0.0,0.0,0.0,0.0,0.0,4.2473,0.0,0.0,0.0,0.0,0.0,4.5936,0.0,0.6149,0.0,0.0,0.0,0.0,6.9086,9.3058,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.2019,0.0,21.6422,13.7567,0.0,0.0,0.0,4.3026,27.5236,35.8706,0.0,0.0,100.0,0.0,0.0,38.5628,100.0,0.0,2.7495,6.2956,22.2017,0.0,13.8364,21.5781,33.7993,0.0798,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.3148,42.4882,16.6517,1.2076,0.0,0.0,18.4363,0.0,51.8584,0.0,23.866,0.0,0.0,0.0,0.0,3.9046,10.4092,7.4056,0.0,2.3204,0.0,0.0,0.0,8.8756,0.0,0.0,30.1536,0.0,7.6283,0.0,0.0,0.0,0.0,0.0,0.0,4.7474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.12,9.5344,0.0,0.0,0.0,2.0799,7.1883,100.0,50.5984,0.0,30.0136,2.6277,0.0,27.5344,0.0,0.0,0.0,38.7119,0.0,66.7416,0.0,53.5746,18.9951,42.0719,0.0,7.2039,0.0,0.0,0.0,4.4989,0.0,0.0,0.0,0.0,5.0646,1.6831,0.0,2.9466,0.0
Bacteria: Dolosigranulum pigrum,4.4426,0.0,62.4253,37.562,12.3369,0.0,0.0,25.2916,0.0,0.0,0.0,21.4265,10.4477,0.0,51.928,15.3814,0.0,0.0,41.4106,0.0,34.9919,19.5354,0.0,50.7636,28.5899,0.0,0.0,0.0,0.0,0.0,21.7704,0.0,18.3905,2.8402,0.0,0.0,0.0,0.0,0.0,0.0,26.2062,0.0,0.0,3.2325,34.6173,0.0,0.0,64.223,26.6305,0.0,14.5861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6892,0.0,0.0,0.0,0.0,32.1794,0.0,0.0,0.0,59.0254,0.0,0.0,76.9114,0.0,62.4708,11.6234,14.7411,0.0,5.9411,0.0,0.0,30.2116,35.4516,3.8484,0.0,13.0565,24.0461,17.0826,15.9675,22.4431,0.0,0.0,0.0,0.0,0.0,32.5764,50.386,0.0,0.0,7.2993,0.0,0.0,0.0,0.0,0.0,0.0,89.3387,64.3341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3632,0.0,0.0,6.1135,21.2524,0.0,0.0,21.5883,43.1009,10.8586,0.0,0.0,0.0,17.287,0.0,0.0,49.9135,0.0,0.0,0.0,0.0,0.0,0.0,10.1316,0.0,0.0,23.284,0.0,11.759,0.0,0.0,0.0,23.9467,0.0,0.0,50.4479,0.0,8.3911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3617,0.0,0.0,0.0,48.0635,50.7706,33.1329,0.0,28.133,28.4279,0.0,0.0,0.0,49.3991,5.9373,0.0,29.6239,0.0,0.0,0.0,18.8383,0.0,74.6151,30.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4068,5.6199,56.1212,0.0,0.0,0.0,19.3731,0.0,0.0,0.0,0.0,21.5206,32.1279,12.3591,34.0333,46.41,52.2193,76.9012,22.1802,8.9425,43.876,1.4194,0.0,8.0927,0.0
Bacteria: Francisella sp,0.0,0.0,0.0,5.7479,0.0,0.0,23.13,0.0,0.0,0.0,0.0,11.3585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6385,0.0,0.0,0.0,0.0,0.0,1.5956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5752,39.8416,0.0,0.0,0.0,0.0,0.0,7.0699,0.0,0.0,0.0,0.0,0.0,3.9733,2.7578,1.5163,0.0,0.0,0.0,0.0,1.7833,0.0,0.0,0.0,0.0,4.6958,0.0,1.7081,0.0,0.0,0.0,0.0,0.0,1.8202,0.0,0.0,0.0,0.0,0.0,5.6634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6171,0.0,0.0,0.0,0.0,0.0,1.9166,0.0,0.0,0.0,0.0,0.0,0.0,1.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6414,9.9248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2414,0.0,0.0,7.3351,0.0
Bacteria: Moraxella nonliquefaciens,92.1367,0.0,0.0,0.0,11.1515,0.0,16.0271,24.8958,17.5649,0.0,0.0,19.767,0.0,0.0,48.072,24.6057,2.3205,100.0,58.5894,0.0,0.0,27.1112,0.0,26.5477,0.0,10.0228,0.0,0.0,51.4656,0.0,55.8674,0.0,68.8013,18.4456,0.0,0.0,0.0,0.0,42.5496,0.0,57.7076,0.0,13.7257,0.0,0.0,11.5271,0.0,10.6424,9.3978,0.0,63.2806,0.0,0.0,83.5171,0.0,6.3063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8346,19.5537,0.0,0.0,0.0,79.9328,18.9869,0.0,0.0,16.076,7.9755,0.0,0.0,4.4745,0.0,88.5787,39.0265,46.3397,96.1516,61.8138,67.2756,17.2044,66.3847,3.5505,68.3091,35.5191,12.6633,0.0,0.0,0.0,67.4236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4966,0.0,0.0,26.257,0.0,72.4764,0.0,0.0,0.0,0.0,0.0,23.2813,0.0,0.0,0.7283,39.9791,0.0,34.297,65.5506,43.0628,0.0,0.0,0.0,0.0,9.1051,0.0,100.0,46.7876,0.0,0.0,0.0,0.0,83.3483,67.8231,0.0,15.3569,0.0,10.2438,0.0,0.0,0.0,0.0,0.0,60.2392,0.0,0.0,29.1326,24.6374,52.7963,0.0,66.0167,0.0,0.0,0.0,4.184,96.0668,0.0,0.0,0.0,0.0,14.9702,41.766,0.0,0.0,9.6,44.7875,100.0,0.0,0.0,20.6139,25.9042,0.0,49.1855,0.0,0.0,0.0,81.1617,14.8326,0.0,29.5414,0.0,0.0,100.0,0.0,0.0,18.9214,50.0201,70.1571,76.9735,0.0,0.0,68.5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1987,0.0,0.0,6.16,33.6428,0.0,0.0,0.0,0.0,30.3609,0.0,26.638,0.0
Bacteria: Streptococcus mitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1363,5.5046,0.0,0.0,0.0,0.0,0.0,0.0,34.741699999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2771,0.0,0.0,0.0,0.0,0.8062,0.0,5.0051000000000005,0.0,0.0,24.7355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8391,1.3499,0.0,0.0,0.0,0.0,0.0,13.0309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0,0.0,0.0,0.0,1.6846,0.0,0.0,38.008700000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8772,0.0,0.0,10.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35339999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3067,0.0,0.0,0.0,0.0
Bacteria: Moraxella lincolnii,0.0,0.0,0.0,0.0,59.0131,99.1714,0.0,0.0,0.0,0.0,41.9127,0.0,80.5547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2329,0.0,0.0,0.0,32.157,0.0,0.0,2.7991,0.0,52.8773,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2606,0.0,0.0,0.0,87.1821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2631,0.0,0.0,0.0,0.0,0.0,0.0,79.3362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7162,68.3228,66.4015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.7981,0.0,0.0,0.0,0.0,0.0,0.0,55.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.2352,0.0,93.7044,0.0,0.0,0.0,0.0,0.0,0.0,100.0,69.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.2199,30.5442,0.0,35.6103,0.0,88.241,0.0,3.0903,69.9103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.3717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3358,84.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0149,0.0,0.0,0.0,72.0623,46.4254,0.0,0.0,0.0,0.0,0.0,87.6409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1814,47.6342,0.0,18.0995
Bacteria: Paracoccus marcusii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4673,0.0,24.8446,0.0,0.0,0.0,7.7392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4025,8.9232,0.0,0.0,0.0,0.0,0.0,64.1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1665,0.0,32.2706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7752,0.0,0.0,1.7307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3695,0.0,0.1953,5.5635,0.0,0.0,0.0,0.0
