,both_present,species1_only,species2_only,none_present,correlation,p_value
overall,7.339449541284404,22.477064220183486,15.137614678899084,55.04587155963303,0.01636210569812632,0.8101668554607135
Prior,6.024096385542169,15.66265060240964,14.457831325301203,63.85542168674698,0.12421647736104845,0.26320704767585573
Acute,8.21917808219178,31.506849315068493,19.17808219178082,41.0958904109589,-0.15701706383121888,0.18462606736801804
Post,8.064516129032258,20.967741935483872,11.29032258064516,59.67741935483871,0.08816055980558757,0.49563216351114503
Severity_0,9.523809523809524,14.285714285714285,15.873015873015872,60.317460317460316,0.185654986333157,0.14517696185278708
Severity_1,3.9215686274509802,27.450980392156865,5.88235294117647,62.745098039215684,-0.013535200411021478,0.9248957983491051
Severity_2,5.0,25.0,20.0,50.0,-0.12889529609359726,0.25449847502689704
Severity_3,9.523809523809524,28.57142857142857,14.285714285714285,47.61904761904761,0.060656444338878526,0.7939518744629365
Severity_4,66.66666666666666,0.0,33.33333333333333,0.0,-1.0,0.0
Symptoms_Asymptomatic,9.523809523809524,14.285714285714285,15.873015873015872,60.317460317460316,0.185654986333157,0.14517696185278708
Symptoms_Mild,4.580152671755725,25.954198473282442,14.50381679389313,54.961832061068705,-0.09792496241543083,0.2658212904824873
Symptoms_Severe,16.666666666666664,25.0,16.666666666666664,41.66666666666667,0.15964428993057508,0.4561858293091965
