,3001368269-DNA,3001427154-DNA,3001421314-DNA,3000885580-DNA,3001212764-DNA,3001065168-DNA,3000852208-DNA,3001351690-DNA,3001328919-DNA,3001379528-DNA,3001368277-DNA,3001184945-DNA,3001344083-DNA,3000864431-DNA,3001172116-DNA,3001195247-DNA,3001335441-DNA,3001369354-DNA,3001351698-DNA,3000858883-DNA,3000874511-DNA,3001168533-DNA,3001221254-DNA,3001221282-DNA,3001384560-DNA,3001175193-DNA,3001322433-DNA,3001056120-DNA,3001215694-DNA,3001172778-DNA,3001053940-DNA,3001093757-DNA,3001168525-DNA,3001370799-DNA,3001090046-DNA,3001172810-DNA,3000883040-DNA,3001172132-DNA,3001324280-DNA,3001352787-DNA,3001201485-DNA,3001384576-DNA,3001097048-DNA,3001341755-DNA,3001347875-DNA,3001336356-DNA,3001370851-DNA,3001351708-DNA,3001425865-DNA,3001087070-DNA,3001099250-DNA,3001379500-DNA,3001324288-DNA,3000881401-DNA,3000847929-DNA,3001065184-DNA,3001379508-DNA,3000886283-DNA,3001097072-DNA,3001357238-DNA,3001092225-DNA,3001341747-DNA,3001206725-DNA,3001177343-DNA,3001212756-DNA,3001076925-DNA,3000864467-DNA,3001087078-DNA,3001102451-DNA,3001439971-DNA,3000874503-DNA,3001222477-DNA,3001056128-DNA,3000886263-DNA,3001177351-DNA,3001060880-DNA,3001070218-DNA,3001184953-DNA,3001175177-DNA,3000885572-DNA,3001322441-DNA,3001425825-DNA,3001332903-DNA,3001348312-DNA,3001323185-DNA,3001102495-DNA,3001428252-DNA,3001094401-DNA,3000864399-DNA,3001359894-DNA,3001357258-DNA,3001076933-DNA,3001226004-DNA,3001177411-DNA,3001326503-DNA,3000847949-DNA,3001221246-DNA,3001421342-DNA,3000879703-DNA,3001168541-DNA,3001099234-DNA,3001215725-DNA,3000881385-DNA,3001225986-DNA,3000868694-DNA,3001328927-DNA,3001195230-DNA,3001328911-DNA,3001092258-DNA,3000847945-DNA,3001370807-DNA,3000858874-DNA,3000885600-DNA,3001063025-DNA,3000858131-DNA,3001357226-DNA,3001102443-DNA,3001172786-DNA,3001048330-DNA,3001448383-DNA,3000883056-DNA,3001198169-DNA,3001352795-DNA,3000891771-DNA,3001341779-DNA,3001378114-DNA,3000874519-DNA,3001185736-DNA,3001071356-DNA,3001326467-DNA,3001231121-DNA,3001206722-DNA,3001361919-DNA,3001348320-DNA,3001045051-DNA,3000867627-DNA,3001099226-DNA,3001332911-DNA,3001180260-DNA,3000858123-DNA,3001063053-DNA,3000879709-DNA,3001222449-DNA,3000852236-DNA,3001231137-DNA,3001071364-DNA,3001063041-DNA,3000879733-DNA,3001427175-DNA,3001324264-DNA,3001332927-DNA,3001428244-DNA,3001094393-DNA,3001448375-DNA,3001048322-DNA,3000852216-DNA,3001201505-DNA,3001369346-DNA,3001335473-DNA,3000858866-DNA,3001175224-DNA,3001184969-DNA,3000829042-DNA,3001344067-DNA,3001076976-DNA,3001198225-DNA,3001201470-DNA,3001231145-DNA,3001087062-DNA,3001428260-DNA,3001090070-DNA,3001359901-DNA,3001056136-DNA,3001097056-DNA,3001093737-DNA,3001100999-DNA,3001053907-DNA,3001101039-DNA,3001215710-DNA,3001206694-DNA,3000829049-DNA,3001384568-DNA,3001336340-DNA,3001323173-DNA,3001065176-DNA,3001361935-DNA,3001347849-DNA,3001336332-DNA,3000886299-DNA,3000883072-DNA,3001427166-DNA,3001378122-DNA,3000863616-DNA,3001048314-DNA,3001352807-DNA,3001180259-DNA,3001326483-DNA,3001347857-DNA,3001226011-DNA,3001359941-DNA,3000891783-DNA,3001439963-DNA,3001045026-DNA,3001070226-DNA,3001046458-DNA,3000863600-DNA,3001369378-DNA,3001368261-DNA,3001180268-DNA,3001046450-DNA,3001212748-DNA,3001421330-DNA,3001425833-DNA,3001439979-DNA,3001053923-DNA,3001172140-DNA,3001198161-DNA
Bacteria: Corynebacterium pseudodiphtheriticum,4.4367,0.0,0.0,0.0,0.0,42.931099999999994,17.70971770971771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7014117014117,0.0,0.0,0.0,0.0,0.0,0.0,3.6053,7.262107262107262,39.519600000000004,7.3298073298073305,0.0,0.0,0.0,8.0073,0.0,0.0,0.0,21.1906,0.0,1.6142016142016145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.606199999999998,0.0,0.0,0.0,10.2097,0.0,0.0,0.0,0.0,0.0,0.0,2.6352999999999995,0.0,0.0,12.524287475712525,0.0,7.7287,0.0,0.0,27.34315,0.0,4.55999544000456,0.0,7.107420827581425,0.0,8.886809316902614,0.0,7.9369,0.0,0.0,12.5687,0.0,25.1346,0.0,0.0,16.194387808382093,0.0,4.816104816104816,0.0,0.0,0.0,0.0,15.6163,0.0,45.5925,1.7825,0.0,0.0,0.0,0.0,0.0,6.444231491693837,0.0,16.64611664611665,7.5108,0.0,0.0,0.0,0.0,0.0,8.564600000000002,0.0,0.0,0.0,12.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4106,13.2113,8.663646540411133,0.0,0.0,22.6887,0.0,0.0,63.4464,0.0,0.0,0.0,0.0,10.981089018910982,0.0,16.14442472302395,0.0,0.0,0.0,0.0,7.463492536507465,0.0,0.0,0.0,8.431422845179467,17.633517633517634,0.0,3.420603420603421,0.0,0.0,0.6883006883006882,16.0862,17.83296237048804,0.0,9.619186061657576,0.0,3.6105123735935227,64.4809,0.0,17.85101785101785,0.0,0.0,0.0,0.0,0.0,0.0,9.656575447914078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.517000000000001,16.61037755248285,0.0,41.0864,0.0,11.141916442906258,0.0,0.0,7.884600000000001,0.0,33.36193336193336,0.0,10.2913,0.0,0.0,0.0,5.363,14.1379,0.0,0.0,0.0,13.043286956713041,0.0,7.882999999999999,0.0,24.505475494524507,0.0,0.0,0.0,8.855791144208856,0.0,0.0,0.0,0.0,3.8582000000000005,0.0,0.0,17.1212,19.9688,0.0,10.095
Bacteria: Haemophilus influenzae,59.422,12.5667,0.0,0.0,0.0,0.0,0.0,0.0,6.763893236106764,0.0,0.0,25.8309,100.0,0.0,0.0,0.0,100.0,47.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.87449087449087,5.968500000000001,0.0,0.0,0.0,59.6105,0.0,0.0,0.0,0.0,57.57385757385758,0.0,14.771300000000002,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.41118258881741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.789557980878165,0.0,0.0,0.0,17.795782204217794,0.0,0.0,30.089700000000004,0.0,0.0,32.8884,0.0,0.0,0.0,0.0,0.0,51.5752,0.0,4.0679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.068211068211069,0.0,0.0,4.3807,0.0,14.519329596393188,0.0,0.0,0.0,0.0,53.97455860810285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6648,0.0,29.254300000000004,0.0,0.0,0.0,12.1667,0.0,0.0,0.0,84.1912,0.0,0.0,0.0,0.0,0.0,0.0,48.014300000000006,0.0,0.0,0.0,0.0,0.0,35.6659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2293,0.0,0.0,8.82900882900883,24.765124765124767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.619817619817624,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,48.882,0.0,0.0,3.8870961129038872,52.128299999999996,100.0,0.0,0.0,0.0,0.0,35.05712492284297,0.0,0.0,0.0,90.4656,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,61.43719999999999,81.9005,0.0,0.0,7.319300000000002,0.0,16.338616338616337,0.0,0.0,0.0,0.0
Bacteria: Streptococcus pneumoniae,36.1413,10.4395,0.0,0.0,0.0,0.0,0.0,96.38500887829495,9.1987908012092,15.439336856141642,0.0,19.273,0.0,49.552975137806456,0.0,26.971926971926973,0.0,25.0961,74.34102565897433,0.0,100.0,0.0,0.0,0.0,3.2113000000000005,1.9906019906019907,0.0,0.0,0.0,0.0,41.7972,0.0,0.0,0.0,0.0,0.0,4.7369,24.8075,82.17400000000002,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.4351,0.0,0.0,32.09133209133209,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651583101623464,0.0,0.0,0.0,50.270550270550274,6.05155448005974,25.9404,0.0,0.0,96.90969999999999,0.0,16.3774,0.0,0.0,15.847746705029872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5191,1.7237,0.0,0.0,0.0,31.4815,21.0364,0.0,1.8997,0.0,9.5649,0.0,49.48284948284948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.808799999999998,0.0,0.0,0.0,0.0,32.13957867356873,0.0,16.198,0.0,14.542414542414543,0.0,0.0,33.3453,0.0,0.0,0.0,0.0,64.2626,12.646419807118185,0.0,0.0,0.0,0.0,0.0,0.0,21.391599999999997,0.0,0.0,8.669408669408668,10.836410836410835,0.0,27.619600000000002,21.7548,0.0,0.0,43.5013,46.69007793487971,0.0,0.0,0.0,12.8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.397974612986351,1.4619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.389627588742336,0.0,11.3893,0.0,0.0,0.0,0.0,0.0,25.550474449525552,0.0,0.0,7.012292987707013,0.0,0.0,73.743,9.583890416109583,0.0,0.0,0.0,100.0,0.0,68.83753116246884,0.0,6.4009,0.0,10.128189871810127,0.0
Bacteria: Cutibacterium acnes,0.0,7.188300000000001,14.6753,6.9086,0.0,4.4989,13.756713756713758,0.0,0.0,0.0,0.079904995163645,21.511999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5187,0.0,42.488242488242484,0.0,1.6831016831016832,0.0,0.0,0.0,9.2019,38.7119,4.5936,0.0,50.5984,0.31480031480031484,0.0,24.66,0.0,0.0,0.0,0.0,100.0,0.0,15.886400000000002,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.866,0.0,5.064594935405065,0.0,12.3385,0.0,0.0,1.4084,0.0,0.0,27.5236,0.0,30.030730030730034,3.094781219574444,0.0,0.0,7.6283,0.0,2.0799,0.0,0.0,0.0,0.0,0.0,18.9951,0.0,7.405592594407405,0.0,16.6517,0.0,29.8332,0.0,0.0,2.3204,0.0,27.534372465627534,25.41251884949892,0.0,0.0,0.0,0.0,2.7495027495027493,4.7474,30.0136,36.361536361536366,0.0,100.0,0.0,0.0,20.71832071832072,0.0,1.2113807192247004,3.9321,15.020832899314598,0.0,0.0,0.0,7.932957910777584,14.526685473314528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9046,35.8706,0.0,0.0,33.5339,42.0719,0.0,0.0,4.2473,0.0,0.0,0.0,100.0,26.0334,0.0,0.0,100.0,0.0,4.579509181689201,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.421292026822144,10.4092,0.0,0.0,23.133179697888295,0.0,62.26983773016227,0.0,100.0,0.0,0.0,0.0,0.0,33.7993,0.0,0.0,100.0,22.201700000000002,0.0,4.513404513404513,51.85834814165186,0.0,0.0,0.0,0.0,22.3622,0.0,7.369304362094785,8.8756,18.4363,18.4288,7.491623283839125,0.0,0.0,0.0,0.0,2.1374021374021375,0.0,0.0,53.574600000000004,0.0,0.0,0.0,0.0,9.5344,0.0,21.5781,0.0,0.0,0.0,0.0,9.305790694209305,33.5076,0.0,0.0,0.0,38.5628,0.0,0.0,0.0,0.0,0.0,14.74891474891475,0.0,0.0,0.0,0.0
Bacteria: Dolosigranulum pigrum,0.0,30.3393,0.0,0.0,0.0,46.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.12793212793213,0.0,0.0,0.0,32.1794,0.0,0.0,2.8402,1.4194014194014195,37.562000000000005,11.623411623411624,32.5764,0.0,0.0,24.046100000000003,0.0,0.0,0.0,29.6239,0.0,49.91354991354992,0.0,34.0333,0.0,0.0,0.0,0.0,0.0,62.4253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.759,5.6199,0.0,0.0,43.87595612404387,0.0,0.0,0.0,100.0,0.0,17.619802835965718,23.283976716023282,0.0,33.78033387912735,0.0,8.499672835013271,0.0,23.9467,0.0,0.0,74.6151,0.0,64.223,34.9919,0.0,14.945600653745196,0.0,18.39051839051839,0.0,0.0,0.0,0.0,19.5354,18.8383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.48952212197371,22.4431,21.252421252421257,28.4279,0.0,0.0,41.4106,0.0,12.359100000000002,19.373100000000004,0.0,0.0,0.0,0.0,0.0,0.0,50.02210907841701,51.92799999999999,0.0,0.0,0.0,0.0,30.211599999999997,49.3991,22.628201634306173,29.363199999999996,0.0,50.763600000000004,0.0,0.0,7.2993,50.386,0.0,0.0,34.6173,21.42647857352143,0.0,0.0,0.0,0.0,0.0,0.0,50.77054922945078,0.0,0.0,0.0,0.0,8.391108391108391,0.0,4.442604442604443,0.0,64.3341,6.113506113506113,26.2062,16.17664788044629,0.0,25.385893888949678,50.4479,8.952697122021984,0.0,0.0,13.056513056513058,0.0,0.0,0.0,35.451635451635454,12.336912336912336,0.0,63.60889026461448,0.0,0.0,3.8484,0.0,0.0,26.865173826542048,14.586114586114586,0.0,0.0,0.0,0.0,0.0,21.7704,10.1316,61.30050701744547,0.0,0.0,32.6892,22.38013132361475,48.0635,10.447689552310447,15.3814,0.0,26.63052663052663,0.0,76.9114,0.0,0.0,0.0,56.1212,52.2193,0.0,0.0,10.8586,28.13297186702813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9011230988769,0.0,0.0,0.0,0.0,5.9373,5.941094058905942,0.0,0.0,28.589899999999997,22.18017781982218,17.0826
Bacteria: Francisella sp,0.0,9.9248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7479000000000005,2.757802757802758,0.0,0.0,0.0,4.6958,31.6464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.241392758607241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.703973978042661,22.5752,0.0,0.0,0.0,3.6414,0.0,0.0,0.0,0.0,1.5373353597271466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.13002313002313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7833,1.0344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.358488641511359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7304732891554915,0.0,14.1895785464568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.663405663405664,4.045685403234675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1315,0.0,0.0,0.0,0.0,19.676911461593978,0.0,0.0,0.0,0.0,1.5956015956015956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5866,0.0,0.0,0.0,0.0,1.8201981798018203,39.8416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0699000000000005,2.2084,0.0,0.0
Bacteria: Moraxella nonliquefaciens,0.0,29.5414,19.5537,0.0,0.0,6.16,21.496621496621497,0.0,0.0,84.56066314385835,0.0,0.0,0.0,0.0,0.0,29.1987291987292,0.0,18.9214,0.0,55.8346,0.0,0.0,18.4456,30.360930360930364,0.0,7.975507975507976,67.4236,0.0,0.0,17.2044,0.0,0.0,0.0,49.185500000000005,0.0,46.78764678764679,0.0,0.0,0.0,0.0,0.0,13.7257,0.0,0.0,100.0,100.0,0.0,0.0,0.0,17.5649,0.0,100.0,2.3205023205023205,0.0,76.9735,0.0,0.0,0.0,0.0,79.9328,0.0,0.0,0.0,9.28038796793842,10.243789756210244,72.4764,0.0,10.022810022810022,27.977595237570096,0.0,60.239200000000004,0.0,0.0,0.0,51.4656,10.6424,0.0,0.0,0.0,0.0,68.80136880136881,24.637375362624635,0.0,83.3483,0.0,27.1112,81.1617,0.0,0.0,0.0,50.020049979950024,21.130246559792553,68.5185,12.6633,70.47239348846739,68.3091,39.97913997913999,44.7875,0.0,0.0,58.5894,0.0,0.0,0.0,16.02711602711603,0.0,68.03543860388271,0.0,0.0,0.0,49.97789092158299,48.07200000000001,0.0,0.0,0.0,100.0,39.0265,20.613900000000005,68.70815182528268,23.2813,0.0,26.547700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76698023301977,88.57869999999998,0.0,0.0,96.0668,0.0,0.0,41.76595823404177,0.0,0.0,11.5271,0.0,52.7963527963528,0.0,92.13679213679214,61.8138,0.0,0.7283007283007282,57.7076,3.5970056865210305,0.0,0.0,29.132600000000004,0.0,35.5191,0.0,67.27566727566727,0.0,14.8326,0.0,46.33974633974634,11.151511151511151,0.0,16.368871855233845,0.0,66.0167,96.1516,0.0,34.297,26.444748238578246,63.28066328066328,0.0,0.0,0.0,0.0,0.0,55.8674,0.0,0.0,0.0,0.0,0.0,0.0,14.9702,0.0,24.6057,0.0,9.397809397809398,0.0,0.0,0.0,6.586468615497414,0.0,0.0,33.6428,0.0,0.0,0.0,9.599990400009599,15.356884643115357,0.0,0.0,0.0,0.0,0.0,26.257,0.0,0.0,0.0,0.0,0.0,25.904200000000003,4.474495525504475,42.54964254964255,0.0,0.0,0.0,66.3847
Bacteria: Haemophilus parainfluenzae,0.0,0.0,5.8277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6907006907006906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.585677414322582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria: Streptococcus mitis,0.0,0.0,51.89939999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3017408223618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.35339999999999,13.0309,0.0,0.0,38.008738008738014,0.0,0.0,1.6846016846016847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.306693693306308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8772,0.0,0.0,0.0,0.0,0.0,5.5046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.741282926488648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0103,0.0,0.0,0.0,0.0,24.735475264524734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.005105005105006,0.8062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.61344592946135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8955040421751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria: Streptococcus pseudopneumoniae,0.0,0.0,0.0,28.6838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713503713503713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3143201905233894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.284202284202284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
