,shannon,simpson,observed_otus
3001368269-DNA,0.8153318555775639,0.514314804342,3
3001427154-DNA,1.6371461919667838,0.778975414048,6
3001421314-DNA,1.1197385110918188,0.6067583752222221,4
3000885580-DNA,1.0472378801814233,0.5816097784739221,4
3001212764-DNA,0.0,0.0,1
3001065168-DNA,1.030493892173668,0.594484685158,4
3000852208-DNA,1.493185431150816,0.7502733298999096,5
3001351690-DNA,0.15550910981146276,0.06968619027209977,2
3001328919-DNA,0.5478311441871603,0.2807361521874149,3
3001379528-DNA,0.43025473614918053,0.26111211261135003,2
3001368277-DNA,0.9106086650707461,0.36223279664824937,11
3001184945-DNA,1.3637683433567604,0.738405179938,4
3001344083-DNA,0.0,0.0,1
3000864431-DNA,0.6931072137820109,0.49996003375451614,2
3001172116-DNA,0.20730575133171558,0.10041312529773627,2
3001195247-DNA,1.3287264931130067,0.7250822309977369,4
3001335441-DNA,0.0,0.0,1
3001369354-DNA,1.2324045057588349,0.6718415108460001,4
3001351698-DNA,0.5306728266569092,0.34653667862627047,2
3000858883-DNA,1.0271485836190837,0.57745988395,4
3000874511-DNA,0.0,0.0,1
3001168533-DNA,0.604982071871754,0.41445809354773866,2
3001221254-DNA,1.2101904403422996,0.635273172752,6
3001221282-DNA,1.327799083734296,0.6840829059511278,6
3001384560-DNA,1.2841487541629864,0.6789087305099999,5
3001175193-DNA,1.0806327324011158,0.5067979191073315,6
3001322433-DNA,0.6311380966209031,0.4392836326080001,2
3001056120-DNA,0.3071843316232691,0.16710300727799998,2
3001215694-DNA,0.9390297790714635,0.5765518842740001,3
3001172778-DNA,1.9251985151897815,0.836866474608,8
3001053940-DNA,1.0808315170928957,0.654625705824,3
3001093757-DNA,0.6930755623382057,0.49992838348799995,2
3001168525-DNA,1.501591105755859,0.6659493025853322,15
3001370799-DNA,1.0382032256977705,0.6254169610179999,3
3001090046-DNA,0.6607693624080313,0.4679731612484953,2
3001172810-DNA,0.8376145110667488,0.5314110113414914,4
3000883040-DNA,0.1906943157611381,0.0902503556780001,2
3001172132-DNA,1.0780234750490885,0.653224269022,3
3001324280-DNA,0.46874476015479394,0.29296674479999996,2
3001352787-DNA,0.0,0.0,1
3001201485-DNA,0.0,0.0,1
3001384576-DNA,1.9326720273468967,0.853292914586,7
3001097048-DNA,0.36168740100659125,0.1693968514815336,3
3001341755-DNA,0.8264258666794291,0.5068507049220001,3
3001347875-DNA,0.0,0.0,1
3001336356-DNA,0.0,0.0,1
3001370851-DNA,0.0,0.0,1
3001351708-DNA,0.9029094409056495,0.543152998762,3
3001425865-DNA,0.0,0.0,1
3001087070-DNA,0.4647313202532566,0.2895928575979999,2
3001099250-DNA,0.0,0.0,1
3001379500-DNA,0.0,0.0,1
3001324288-DNA,0.9728206690362898,0.5425999864114617,5
3000881401-DNA,0.36209557345570653,0.20752518379999996,2
3000847929-DNA,0.7415582389303076,0.3818360911959999,4
3001065184-DNA,0.6818973494902959,0.48879241886918656,2
3001379508-DNA,0.0,0.0,1
3000886283-DNA,1.8795818657840568,0.7669778896214537,10
3001097072-DNA,0.0,0.0,1
3001357238-DNA,0.6350854811699863,0.339877609822,3
3001092225-DNA,0.6272427829146603,0.33286869139898245,3
3001341747-DNA,0.0,0.0,1
3001206725-DNA,0.77869862936563,0.49913711926961657,3
3001177343-DNA,0.8695526304048526,0.4633433494383521,4
3001212756-DNA,1.6007693663333713,0.7681841265709787,6
3001076925-DNA,0.5883974162339853,0.398962288608,2
3000864467-DNA,1.0753361573177034,0.6021310537405731,4
3001087078-DNA,1.1635296898017253,0.6376947080507784,4
3001102451-DNA,2.1174827552943785,0.8525161636635659,10
3001439971-DNA,1.0278228968287253,0.616681254944,3
3000874503-DNA,1.048868472434339,0.5672749681020001,4
3001222477-DNA,0.2695959493132786,0.14092780782199998,2
3001056128-DNA,0.13786720904098565,0.059896009182,2
3000886263-DNA,0.9657322283274586,0.42441906682200004,8
3001177351-DNA,1.0030086957572548,0.6049000136880001,3
3001060880-DNA,0.8698992696779027,0.5130397476079999,3
3001070218-DNA,1.1998114825067854,0.6530525222161805,4
3001184953-DNA,1.2730073041595962,0.6961512786101733,4
3001175177-DNA,0.9094619780375932,0.49796646968147806,4
3000885572-DNA,0.4861519063621593,0.30773923519799995,2
3001322441-DNA,0.9167120527799525,0.48410934270420136,4
3001425825-DNA,1.79723739651263,0.8132407244701094,7
3001332903-DNA,0.0,0.0,1
3001348312-DNA,0.4503202489990239,0.2775781774220001,2
3001323185-DNA,0.6116224135888517,0.42071599078200006,2
3001102495-DNA,1.5242687150718597,0.768699069826,5
3001428252-DNA,0.4838697849117387,0.3057896906220001,2
3001094401-DNA,1.0544140081559759,0.637660542438,3
3000864399-DNA,0.28563945948911756,0.11198380283400011,4
3001359894-DNA,0.0,0.0,1
3001357258-DNA,0.6505066600479579,0.45796908699021344,2
3001076933-DNA,1.664101653361606,0.7920922580721237,6
