,Taxon,P-value,Test,Mean in Post,Mean in Acute,Mean in Prior,Max Log2 Fold Change,Max Fold Change Groups,Adjusted P-value
3,Bacteria: Cutibacterium acnes,0.0005445674124492798,Kruskal-Wallis,15.783053746807681,4.075945211435599,9.944846857324045,1.9531671791997476,Post vs Acute,0.03376317957185535
2,Bacteria: Streptococcus pneumoniae,0.007634426229047319,Kruskal-Wallis,6.030452779599142,16.945602060080407,5.601445220706202,1.5970381630682806,Acute vs Prior,0.15777814206697793
8,Bacteria: Streptococcus mitis,0.007625684444960285,Kruskal-Wallis,0.7122799979937914,0.29447496854835287,3.9248304791044117,3.7363681171231944,Acute vs Prior,0.15777814206697793
17,Bacteria: Bifidobacterium breve,0.03398872001413371,Kruskal-Wallis,0.4139258425123273,0.0,0.35007625369071155,15.337119555819896,Post vs Acute,0.5268251602190724
23,Bacteria: [Ruminococcus] gnavus ATCC 29149 strain JCM6515 chromosome,0.08114041763928728,Kruskal-Wallis,0.2513227798294701,0.0,0.0,14.617311225114708,Post vs Acute,0.6726796033845684
19,Bacteria: Bifidobacterium sp,0.08114041763928728,Kruskal-Wallis,0.2085421511995795,0.0,0.0,14.34812057314297,Post vs Acute,0.6726796033845684
16,Bacteria: Bifidobacterium bifidum,0.08114041763928728,Kruskal-Wallis,0.24657648777590527,0.0,0.0,14.589806125953661,Post vs Acute,0.6726796033845684
51,Bacteria: actinobacterium LLX17 genomic scaffold scaffold00001,0.086797368178654,Kruskal-Wallis,0.0,0.0,0.19202994730378764,14.229118824779743,Post vs Prior,0.6726796033845684
14,Bacteria: Moraxella catarrhalis,0.1228994623374987,Kruskal-Wallis,5.623205649215093,5.575335691273259,2.9816501520340015,0.9152795455975083,Post vs Prior,0.7452963635276466
9,Bacteria: Staphylococcus hominis,0.1322299999807115,Kruskal-Wallis,0.0,0.1621554765070235,0.0,13.985179095692548,Post vs Acute,0.7452963635276466
49,Bacteria: Streptococcus australis,0.1322299999807115,Kruskal-Wallis,0.0,0.16766708697901173,0.0,14.033397938098524,Post vs Acute,0.7452963635276466
13,Bacteria: Paracoccus marcusii,0.43312576406058845,Kruskal-Wallis,1.8146981329571927,0.3661719728821146,1.0940074192744633,2.3091048580452465,Post vs Acute,0.783986261094739
15,Bacteria: Actinomyces sp,0.3293377530195839,Kruskal-Wallis,0.005914222901796184,0.08121756885285353,0.0,12.987753749719388,Acute vs Prior,0.783986261094739
7,Bacteria: Haemophilus parainfluenzae,0.47453446649810327,Kruskal-Wallis,0.0,0.31368996408781363,0.07853494808073122,14.9370977435721,Post vs Acute,0.783986261094739
5,Bacteria: Francisella sp,0.5598011083123138,Kruskal-Wallis,1.2731977015970637,1.6636761243895366,1.4126943651795147,0.38591548739369724,Post vs Acute,0.783986261094739
10,Bacteria: Streptococcus pseudopneumoniae,0.287323255461762,Kruskal-Wallis,0.0,0.431875280423936,0.5707181445506746,15.800516088529308,Post vs Prior,0.783986261094739
24,Bacteria: Staphylococcus aureus,0.6828267435341275,Kruskal-Wallis,2.217942487813647,0.4991327239461212,0.45422729871184436,2.2877103811329187,Post vs Prior,0.783986261094739
26,Bacteria: Corynebacterium propinquum,0.5086354522144247,Kruskal-Wallis,2.2488086158558303,1.1214612221112221,3.410336943018964,1.6045259155071283,Acute vs Prior,0.783986261094739
27,Bacteria: Bradyrhizobium sp,0.4680606352225749,Kruskal-Wallis,0.0,0.2447821892266337,1.6696518072289155,17.34919638645125,Post vs Prior,0.783986261094739
28,Bacteria: Corynebacterium accolens,0.2583393168087685,Kruskal-Wallis,0.0,0.08424813382779012,0.6086096385542169,15.893253266125697,Post vs Prior,0.783986261094739
18,Bacteria: Bifidobacterium longum,0.2483352339205773,Kruskal-Wallis,0.3591977923507617,0.0,1.060367252721904,16.694218101303754,Acute vs Prior,0.783986261094739
20,Bacteria: Blautia wexlerae,0.5891676544024075,Kruskal-Wallis,0.00570426960380779,0.0,0.10978422756517002,13.422514586151049,Acute vs Prior,0.783986261094739
21,Bacteria: Streptococcus parasanguinis,0.5891676544024075,Kruskal-Wallis,0.001963870848876068,0.0,0.012398807579530472,10.277148771463862,Acute vs Prior,0.783986261094739
22,Bacteria: Streptococcus vestibularis,0.6745039332858221,Kruskal-Wallis,0.011654023063725087,0.48211783040982326,0.7376037052335139,5.9827280794257405,Post vs Prior,0.783986261094739
30,Bacteria: Actinomyces naeslundii,0.5867571693102802,Kruskal-Wallis,0.1024015946426095,0.0,0.011198806379529271,13.322091440458111,Post vs Acute,0.783986261094739
29,Bacteria: Neisseria subflava,0.4366137783488867,Kruskal-Wallis,0.7968000000000001,0.0,0.040982534765508186,16.281948132954287,Post vs Acute,0.783986261094739
31,Bacteria: Neisseria macacae,0.5867571693102802,Kruskal-Wallis,0.0764568691370038,0.0,0.005269884787957078,12.900619090180696,Post vs Acute,0.783986261094739
38,Bacteria: Streptococcus peroris,0.2715203533307028,Kruskal-Wallis,0.0,0.37878653430897713,0.03326265739759716,15.20913551088868,Post vs Acute,0.783986261094739
33,Bacteria: Neisseria sp,0.5867571693102802,Kruskal-Wallis,0.08090798360814543,0.0,0.00738795919518811,12.982244654548719,Post vs Acute,0.783986261094739
32,Bacteria: Neisseria mucosa,0.19751669370249825,Kruskal-Wallis,0.0,0.0,0.06544573621452328,12.676303912976515,Post vs Prior,0.783986261094739
