Taxon,Mean Abundance (%),Prevalence (%),Mean in Acute (%),Mean in Post (%),Mean in Prior (%),Mean in 0 (%),Mean in 1 (%),Mean in 2 (%),Mean in 3 (%),Mean in 4 (%),Mean in Asymptomatic (%),Mean in Mild (%),Mean in Severe (%)
Moraxella_nonliquefaciens,19.30159701657458,39.77900552486188,17.84443615384615,21.81838125,18.917917794117646,22.824585624999997,23.98628022727273,16.614152500000003,10.26911111111111,9.335416666666667,22.824585624999997,19.510345535714286,10.135726190476191
Dolosigranulum_pigrum,16.798187127071827,43.0939226519337,14.155219076923077,13.313979166666664,21.783994558823533,23.98088208333333,9.279057272727274,15.042613823529413,25.456292777777783,0.0,23.98088208333333,12.778359464285716,21.819679523809526
Moraxella_lincolnii,14.778740662983429,20.441988950276244,14.814760153846155,15.378382916666665,14.321033382352942,6.550868749999999,26.090912045454544,15.128680000000001,10.208888333333334,0.0,6.550868749999999,19.435271160714287,8.750475714285715
Haemophilus_influenzae,11.629558287292816,21.54696132596685,14.666288615384616,12.078732083333335,8.4097375,12.159394791666665,0.55909,15.561092352941175,11.681182222222223,76.09452666666667,12.159394791666665,9.66744857142857,20.88308857142857
Streptococcus_pneumoniae,9.718099668508287,23.204419889502763,16.24412476923077,7.5256308333333335,5.0276125,9.580041875,16.309221136363636,7.482583676470588,1.9469177777777777,12.55603,9.580041875,10.95019125,3.462505238095238
Corynebacterium_pseudodiphtheriticum,5.420678453038675,29.83425414364641,4.654871692307693,4.718638958333334,6.6482569117647055,6.114944791666667,2.9875372727272733,5.566018088235293,9.871365555555554,0.0,6.114944791666667,4.553043482142857,8.461170476190475
Moraxella_catarrhalis,4.164940331491712,20.994475138121548,3.1700939999999997,6.752253333333333,3.289557794117646,6.442753958333334,1.9601856818181818,5.181055147058823,0.0,2.01403,6.442753958333334,3.915713571428572,0.28771857142857143
Corynebacterium_propinquum,3.1631161878453042,6.077348066298343,1.1840016923076924,3.751152916666667,4.639832058823529,8.792306041666667,0.0,1.5750232352941178,2.4106533333333333,0.0,8.792306041666667,0.9562641071428573,2.0662742857142855
Moraxella_lacunata,2.573982983425414,3.314917127071823,2.303951384615385,3.138905,2.43333294117647,0.0,4.810089090909091,0.0,14.124833333333333,0.0,0.0,1.8896778571428572,12.107
Cutibacterium_acnes,2.092419723756906,3.867403314917127,2.439219076923077,3.476378541666667,0.7840082352941176,0.5477770833333333,3.3496631818181815,2.9282663235294115,0.3292988888888889,0.0,0.5477770833333333,3.0938150892857146,0.2822561904761905
Streptococcus_thermophilus,1.6615255248618785,2.7624309392265194,1.5384615384615385,0.015335833333333333,2.9411764705882355,0.0,2.2886197727272726,2.941718382352941,0.0,0.0,0.0,2.6851439285714287,0.0
Streptococcus_mitis,1.1643513259668508,5.524861878453039,0.42224076923076925,0.5429264583333333,2.3123745588235294,0.03206395833333333,3.477939545454545,0.4721363235294117,1.3374394444444446,0.0,0.03206395833333333,1.6529875892857142,1.1463766666666668
Staphylococcus_aureus,1.0551032044198896,2.209944751381215,0.6605607692307692,2.961182291666667,0.08677176470588235,1.7723583333333333,0.0,1.55736,0.0,0.0,1.7723583333333333,0.94554,0.0
Bifidobacterium_longum,0.6405975138121547,1.1049723756906076,0.0,0.332253125,1.4705882352941178,0.0,0.0,1.7051198529411764,0.0,0.0,0.0,1.0352513392857143,0.0
Bifidobacterium_breve,0.5569883977900553,1.1049723756906076,0.0,0.016977083333333334,1.4705882352941178,0.0,0.0,1.4825720588235294,0.0,0.0,0.0,0.9001330357142857,0.0
GGB6646_SGB9384,0.337910773480663,3.867403314917127,0.8300926153846154,0.004440416666666666,0.10283367647058823,0.09816645833333333,0.0,0.05527073529411764,2.927302777777778,0.0,0.09816645833333333,0.03355723214285714,2.509116666666667
Rothia_mucilaginosa,0.3150494475138121,2.7624309392265194,0.41533015384615385,0.0,0.4415807352941177,0.0,0.09649886363636363,0.7761470588235294,0.0,0.0,0.0,0.5091424107142857,0.0
Haemophilus_parainfluenzae,0.16466767955801107,1.1049723756906076,0.048717384615384614,0.0,0.39173852941176474,0.0,0.07196886363636364,0.39173852941176474,0.0,0.0,0.0,0.26611473214285714,0.0
Streptococcus_salivarius,0.10626618784530388,2.209944751381215,0.27405184615384615,0.011563541666666668,0.012731764705882352,0.0,0.0,0.15783485294117644,0.47230055555555556,0.0,0.0,0.09582830357142856,0.4048290476190476
Paracoccus_haeundaensis,0.07391756906077349,1.1049723756906076,0.0,0.27736895833333336,0.0009613235294117647,0.0,0.3025843181818182,0.0009613235294117647,0.0,0.0,0.0,0.11945607142857143,0.0
