,Shannon,Simpson,Observed
3001177343-DNA,0.5465600263010045,0.3040592637562499,3
3001359901-DNA,0.0,0.0,1
3001332911-DNA,0.14454232692902994,0.06355763795550007,2
3001201505-DNA,0.0,0.0,1
3001384560-DNA,0.8949410515907272,0.5607475810767399,3
3001368269-DNA,0.6236398691627951,0.43211868789198005,2
3001448383-DNA,0.9526115705290963,0.5811414565120055,3
3001198161-DNA,0.7207209017633395,0.3820185799657403,4
3000852216-DNA,0.8956187615272208,0.5196963168294598,4
3001439963-DNA,0.8476294018886319,0.49182023047786005,4
3000829049-DNA,0.0,0.0,1
3001369354-DNA,1.112115015226312,0.6058388206607899,4
3001184969-DNA,1.0974480316390913,0.64809912166366,4
3001324288-DNA,0.6794643307485417,0.44594915706422,3
3001056120-DNA,0.0,0.0,1
3000847929-DNA,0.552507815314498,0.28235067998578,4
3001053923-DNA,1.0712416501834607,0.6278735579052401,4
3001324280-DNA,0.0,0.0,1
3001347857-DNA,0.963649180525921,0.5175313508710244,5
3001180259-DNA,1.5670527500527451,0.7560600652563094,6
3001221254-DNA,1.1832389966079273,0.6255198800735801,5
3001226004-DNA,0.0,0.0,1
3001351698-DNA,0.5065151208527334,0.31085338542207996,3
3001201485-DNA,0.0,0.0,1
3000847945-DNA,0.22466239918818473,0.11132812387949986,2
3001341779-DNA,0.747385771278634,0.4625842878935801,3
3000885580-DNA,0.0,0.0,1
3001428244-DNA,0.5276185986823811,0.34382903186231983,2
3001341755-DNA,0.6982025434319278,0.4534962546998199,3
3000847949-DNA,0.7005338317991407,0.43512725401716645,4
3000864399-DNA,0.0,0.0,1
3001379508-DNA,0.0,0.0,1
3001206725-DNA,0.8202228473204513,0.49556701887263144,4
3000863600-DNA,0.4235126798906731,0.20242748088849993,3
3001063053-DNA,0.0,0.0,1
3000883056-DNA,0.0,0.0,1
3000883040-DNA,0.0,0.0,1
3001198225-DNA,0.11668769473936916,0.04863637284792022,2
3001094401-DNA,0.9740919520064362,0.57815687479832,3
3001097048-DNA,0.092014221876498,0.0362532881134201,2
3001177351-DNA,0.7660133946389786,0.51408950107416,3
3001168533-DNA,0.0,0.0,1
3001326467-DNA,1.2698468732345987,0.68531298192098,5
3001341747-DNA,0.0,0.0,1
3001076976-DNA,0.0,0.0,1
3001172116-DNA,0.0,0.0,1
3001221282-DNA,1.0892362040615624,0.5996011833710775,4
3001102495-DNA,1.293728286592056,0.70425548729276,4
3000879709-DNA,0.5430874556468633,0.3576116137164802,2
3001071364-DNA,0.0,0.0,1
3000858874-DNA,0.6707697867701269,0.47779002689592,2
3001087078-DNA,0.392306990558739,0.23082322520718002,2
3001206722-DNA,1.3344610402309152,0.6124866755280203,8
3001428260-DNA,0.48856466123571063,0.24617238721853996,3
3001076933-DNA,0.678457205721424,0.48538209908447993,2
3001065168-DNA,0.6886295833944734,0.49548920983800004,2
3001379528-DNA,0.5407579203022002,0.2935059949881399,3
3000868694-DNA,0.0,0.0,1
3000852236-DNA,0.23988136461460585,0.10227947009649974,3
3001056136-DNA,0.0,0.0,1
3001172786-DNA,1.1422950186926966,0.6059699906724401,4
3001092258-DNA,0.0,0.0,1
3001215694-DNA,0.6917790998379492,0.4986325432735199,2
3001175177-DNA,0.83012477850209,0.4730937921537539,3
3001336340-DNA,0.9999159260863095,0.5903702638769801,4
3001359941-DNA,0.8052991012561963,0.52802877533992,3
3001094393-DNA,1.1580864095554535,0.5294552416677263,8
3001222477-DNA,0.0,0.0,1
3000829042-DNA,0.8897478601238745,0.469372188697053,5
3001361919-DNA,0.4061058335654989,0.2417066936959198,2
3001357238-DNA,0.0,0.0,1
3001172778-DNA,1.3578758621441633,0.6762660030808,6
3001195230-DNA,0.6452459448455993,0.3142368508352683,6
3000858883-DNA,0.6810527431189997,0.48795440023021996,2
3001056128-DNA,0.012158635803378415,0.0032754181756800005,2
3001225986-DNA,0.6816854840506366,0.38806202089974007,3
3001323173-DNA,0.3478254777208267,0.19677826823647981,2
3001102451-DNA,0.7530049378831989,0.40199953354764006,4
3001070226-DNA,1.1462750319658517,0.5981900507431601,5
3001425865-DNA,0.0,0.0,1
3000858123-DNA,0.7093533964667369,0.43434340210066,3
3001231145-DNA,0.0,0.0,1
3001198169-DNA,0.9611960300614405,0.5684254521359448,3
3001322441-DNA,0.5274185655578716,0.29790238424675386,3
3001335441-DNA,0.0,0.0,1
3001087070-DNA,0.0,0.0,1
3001428252-DNA,0.4105964979159497,0.2452808969998198,2
3001092225-DNA,0.02048096915066334,0.0060018798000001095,2
3001328919-DNA,0.4149843393966961,0.19730420643255997,3
3001100999-DNA,0.2357982378747368,0.11848612179341989,2
3001368277-DNA,2.245721211339428,0.8333854858177236,47
3001175193-DNA,0.747626902382283,0.3743262920390201,4
3000885572-DNA,0.0,0.0,1
3001046450-DNA,0.0,0.0,1
