,Species,Test,Statistic,P-value,Mean Difference,Fold Change,Adjusted P-value
7,Corynebacterium_accolens,Kruskal-Wallis,18.211728395060277,0.0011218812350964333,0.6656733333333333,6656733333.333333,0.012901634203608984
8,Haemophilus_influenzae,Kruskal-Wallis,18.643213329119515,0.0009234746283417158,75.53543666666667,136.1042527196985,0.012901634203608984
9,Moraxella_lacunata,Kruskal-Wallis,15.820201138240007,0.0032701643333712003,14.124833333333335,141248333333.33334,0.025071259889179204
1,Dolosigranulum_pigrum,Kruskal-Wallis,13.140026657570031,0.01061148365500403,25.456292777777776,254562927777.77774,0.05022172268220013
3,Moraxella_catarrhalis,Kruskal-Wallis,13.074433867102062,0.010917765800478289,6.442753958333333,64427539583.33333,0.05022172268220013
0,Moraxella_lincolnii,Kruskal-Wallis,8.290733718409372,0.08149038929606277,26.090912045454544,260909120454.54544,0.2677541362584919
2,Moraxella_nonliquefaciens,Kruskal-Wallis,8.412882614111675,0.07757231079308868,14.650863560606062,2.569385072298054,0.2677541362584919
17,Corynebacterium_propinquum,Kruskal-Wallis,6.68712539720966,0.15337524340660383,8.792306041666667,87923060416.66666,0.44095382479398604
15,Haemophilus_haemolyticus,Kruskal-Wallis,3.341993464053634,0.50230638267857,0.13713073529411765,1371307352.9411764,0.7208470381072117
6,Corynebacterium_pseudodiphtheriticum,Kruskal-Wallis,4.536257597796643,0.3382698901588787,9.871365555555556,98713655555.55556,0.7208470381072117
12,Rothia_mucilaginosa,Kruskal-Wallis,4.467599765582018,0.34640661615819773,0.7761470588235294,7761470588.235293,0.7208470381072117
22,Bifidobacterium_longum,Kruskal-Wallis,3.341993464053634,0.50230638267857,1.7051198529411764,17051198529.411764,0.7208470381072117
20,Streptococcus_peroris,Kruskal-Wallis,3.9801454918109234,0.4086995338155254,0.467955,4679550000.0,0.7208470381072117
19,Streptococcus_salivarius,Kruskal-Wallis,4.584378224168582,0.33265931693510514,0.47230055555555556,4723005555.555555,0.7208470381072117
16,Streptococcus_thermophilus,Kruskal-Wallis,3.151499811488777,0.5327999846879391,2.9417183823529416,29417183823.529415,0.7208470381072117
4,Streptococcus_pneumoniae,Kruskal-Wallis,3.4822597322325786,0.4805809132841461,14.362303358585859,8.376943968399823,0.7208470381072117
21,Bifidobacterium_breve,Kruskal-Wallis,3.341993464053634,0.50230638267857,1.4825720588235294,14825720588.235292,0.7208470381072117
11,GGB6646_SGB9384,Kruskal-Wallis,2.772386517285464,0.5966086302220152,2.927302777777778,29273027777.77778,0.7585548252301733
10,Staphylococcus_aureus,Kruskal-Wallis,2.4734424854141572,0.6493975577659421,1.7723583333333333,17723583333.333332,0.7585548252301733
14,Streptococcus_mitis,Kruskal-Wallis,2.4166918651130254,0.6596128915044984,3.477939545454545,34779395454.54545,0.7585548252301733
18,Paracoccus_haeundaensis,Kruskal-Wallis,1.403579916815272,0.8435725714789545,0.3025843181818182,3025843181.818182,0.8848451824146524
13,Haemophilus_parainfluenzae,Kruskal-Wallis,1.3874480095082045,0.8463736527444501,0.39173852941176474,3917385294.117647,0.8848451824146524
5,Cutibacterium_acnes,Kruskal-Wallis,0.785411108985025,0.9403931399794957,3.3496631818181815,33496631818.181812,0.9403931399794957
