,test,statistic,p-value,mean_abundance,n_subjects
Moraxella_nonliquefaciens,Friedman,0.794871794871757,0.6720410208194929,19.30159701657458,35
Dolosigranulum_pigrum,Friedman,1.1621621621621345,0.559293398102888,16.798187127071827,35
Moraxella_lincolnii,Friedman,1.400000000000053,0.4965853037913963,14.778740662983429,35
Haemophilus_influenzae,Friedman,0.8750000000000332,0.6456485264278813,11.629558287292816,35
Streptococcus_pneumoniae,Friedman,6.7812499999999245,0.03368761555886599,9.718099668508287,35
Corynebacterium_pseudodiphtheriticum,Friedman,0.382352941176407,0.8259868129103283,5.420678453038675,35
Moraxella_catarrhalis,Friedman,0.09677419354839077,0.952764903464585,4.164940331491712,35
Corynebacterium_propinquum,Friedman,3.714285714285094,0.15611804531601953,3.1631161878453042,35
Moraxella_lacunata,Friedman,0.0,1.0,2.573982983425414,35
Cutibacterium_acnes,Friedman,0.5000000000000188,0.7788007830713977,2.092419723756906,35
Streptococcus_thermophilus,Friedman,0.5000000000000188,0.7788007830713977,1.6615255248618785,35
Streptococcus_mitis,Friedman,2.923076923076626,0.23187926284822682,1.1643513259668508,35
Staphylococcus_aureus,Friedman,,,1.0551032044198896,35
Bifidobacterium_longum,Friedman,1.0000000000000389,0.6065306597126217,0.6405975138121547,35
Bifidobacterium_breve,Friedman,2.0000000000000724,0.3678794411714291,0.5569883977900553,35
Streptococcus_oralis,Friedman,,,0.5524861878453039,35
Gardnerella_vaginalis,Friedman,2.0000000000000724,0.3678794411714291,0.5197986187845304,35
Rothia_kristinae,Friedman,2.0000000000000724,0.3678794411714291,0.4259321546961326,35
Serratia_marcescens,Friedman,,,0.36755955801104967,35
GGB6646_SGB9384,Friedman,0.28571428571353835,0.8668778997505056,0.337910773480663,35
Streptococcus_lactarius,Friedman,,,0.3170279005524862,35
Rothia_mucilaginosa,Friedman,2.000000000000076,0.3678794411714285,0.3150494475138121,35
Alloprevotella_SGB1463,Friedman,2.0000000000000724,0.3678794411714291,0.31338331491712706,35
Haemophilus_parainfluenzae,Friedman,,,0.16466767955801107,35
Chryseobacterium_indologenes,Friedman,2.0000000000000724,0.3678794411714291,0.15097828729281768,35
Ruminococcus_bromii,Friedman,2.0000000000000724,0.3678794411714291,0.15078685082872928,35
Bifidobacterium_pseudocatenulatum,Friedman,2.0000000000000724,0.3678794411714291,0.1256099447513812,35
Streptococcus_anginosus,Friedman,,,0.1161139226519337,35
Stenotrophomonas_maltophilia,Friedman,,,0.11392850828729281,35
Streptococcus_salivarius,Friedman,0.0,1.0,0.10626618784530388,35
Paracoccus_haeundaensis,Friedman,1.0000000000000389,0.6065306597126217,0.07391756906077349,35
Streptococcus_sanguinis,Friedman,,,0.06961801104972376,35
Corynebacterium_accolens,Friedman,,,0.06619955801104972,35
Streptococcus_peroris,Friedman,1.0000000000000389,0.6065306597126217,0.0650721546961326,35
Klebsiella_pneumoniae,Friedman,,,0.05994988950276243,35
Leuconostoc_gelidum,Friedman,,,0.055320441988950274,35
Haemophilus_haemolyticus,Friedman,1.0000000000000389,0.6065306597126217,0.051518729281767955,35
Corynebacterium_aurimucosum,Friedman,,,0.0443532044198895,35
Streptococcus_australis,Friedman,,,0.03970093922651934,35
Ruminococcus_lactaris,Friedman,2.0000000000000724,0.3678794411714291,0.034312872928176794,35
Staphylococcus_epidermidis,Friedman,,,0.027566740331491712,35
Fusicatenibacter_saccharivorans,Friedman,2.0000000000000724,0.3678794411714291,0.02416226519337017,35
Collinsella_aerofaciens,Friedman,2.0000000000000724,0.3678794411714291,0.022854696132596688,35
Enterobacter_hormaechei,Friedman,2.0000000000000724,0.3678794411714291,0.021469944751381215,35
Staphylococcus_capitis,Friedman,2.0000000000000724,0.3678794411714291,0.021298121546961327,35
Blautia_massiliensis,Friedman,2.0000000000000724,0.3678794411714291,0.01990132596685083,35
Bifidobacterium_bifidum,Friedman,2.0000000000000724,0.3678794411714291,0.017048066298342542,35
GGB45697_SGB63414,Friedman,2.0000000000000724,0.3678794411714291,0.015519337016574587,35
Leuconostoc_mesenteroides,Friedman,,,0.014622265193370166,35
Anaerobutyricum_soehngenii,Friedman,2.0000000000000724,0.3678794411714291,0.013678839779005525,35
